id,title,publish_day,publish_month,publish_year,video_type,duration_seconds,view,like,comment,impression,revenue
388,The Temples of South India,4,September,2019,Shorts,1329,485.082,12.287,4.457,860.055,166.214
389,The Festivals of India,7,October,2021,Long,606,512.186,40.61,4.636,1135.703,147.174
390,Exploring the Rann of Kutch,14,November,2020,Long,1724,949.2,13.22,7.347,686.365,71.849
391,The History of the Mughal Empire,14,March,2019,Long,1027,499.166,15.768,5.074,3811.809,100.994
392,A Culinary Tour of Delhi,2,July,2019,Long,780,498.336,45.318,9.163,1379.645,138.703
393,The Markets of Kolkata,1,September,2020,Shorts,1254,413.141,32.43,7.33,685.434,52.82
394,Life in a Small Indian Village,22,May,2019,Shorts,568,318.876,16.934,4.274,1669.741,126.225
395,The Indian Independence Movement,15,August,2019,Shorts,1686,616.865,14.62,4.682,1445.436,131.026
396,The Mysteries of the Himalayas,28,September,2020,Long,871,515.635,57.229,5.567,1930.016,20.034
397,Exploring the Rann of Kutch,17,September,2019,Long,738,170.64,62.587,9.992,2497.143,82.928
398,Traditional Indian Weddings,17,October,2020,Shorts,560,175.999,61.013,4.084,1786.006,62.983
399,The Indian Independence Movement,16,January,2019,Long,948,927.643,31.312,6.134,1795.581,36.14
400,The Mysteries of the Himalayas,19,May,2021,Shorts,1522,714.063,43.826,7.163,2951.859,65.147
401,The Mysteries of the Himalayas,22,January,2020,Shorts,1263,288.367,14.304,6.716,2007.293,45.986
402,Bollywood: Behind the Scenes,14,November,2021,Shorts,537,574.286,40.102,3.068,807.375,85.924
403,The History of the Mughal Empire,9,January,2021,Long,333,267.156,10.49,8.302,2403.498,105.778
404,The History of the Mughal Empire,12,May,2020,Shorts,1120,174.407,18.11,7.454,1572.844,144.461
405,The Markets of Kolkata,3,November,2021,Long,1173,612.81,65.485,6.44,3571.292,158.279
406,The Festivals of India,10,May,2020,Long,1741,766.28,13.11,3.56,1936.452,191.683
407,The Festivals of India,27,October,2021,Shorts,1080,694.1,40.826,3.622,2779.381,97.981
408,Wildlife of the Sundarbans,20,August,2019,Shorts,1083,790.749,21.378,1.198,952.059,157.01
409,The Markets of Kolkata,20,January,2019,Shorts,1597,769.233,61.355,0.861,2177.27,116.186
410,Exploring the Rann of Kutch,3,November,2019,Shorts,604,994.973,40.018,4.745,1150.995,94.738
411,A Journey through Rajasthan,13,December,2020,Long,1350,738.324,49.541,1.047,2202.411,96.146
412,A Journey through Rajasthan,4,March,2020,Long,1545,287.518,56.686,9.914,3593.021,89.568
413,Wildlife of the Sundarbans,26,January,2019,Shorts,391,152.035,18.625,4.263,2357.035,156.442
414,A Day in the Life of an Indian Farmer,22,July,2020,Shorts,640,550.215,18.258,6.104,2912.41,73.513
415,A Culinary Tour of Delhi,10,October,2021,Shorts,769,554.755,59.987,3.503,2556.443,70.022
416,The Festivals of India,14,February,2021,Shorts,687,104.613,68.931,7.322,1559.708,35.308
417,The History of the Mughal Empire,6,August,2021,Shorts,493,530.659,33.788,6.548,1571.155,72.923
418,The Spices of India,12,February,2019,Long,495,413.826,37.701,5.251,910.741,75.687
419,Exploring the Ganges River,13,September,2019,Shorts,1007,221.379,30.235,5.15,2819.734,55.001
420,A Journey through Rajasthan,19,August,2020,Shorts,1387,492.939,63.989,5.177,538.558,130.456
421,The Temples of South India,8,October,2021,Long,788,926.041,53.709,9.255,2059.618,87.906
422,Bollywood: Behind the Scenes,2,July,2021,Shorts,1269,229.226,25.867,4.329,2212.331,127.554
423,Traditional Indian Weddings,8,September,2020,Long,1107,772.07,46.149,2.35,1515.576,115.588
424,Wildlife of the Sundarbans,13,October,2020,Long,991,550.959,14.99,4.417,2414.827,183.171
425,Discovering the Backwaters of Kerala,8,November,2021,Shorts,440,940.642,29.524,3.15,2729.335,74.203
426,A Tour of Mumbai,9,June,2020,Long,865,265.122,59.498,2.213,3231.101,58.424
427,A Day in the Life of an Indian Farmer,17,January,2020,Shorts,1678,159.839,29.833,0.908,1185.804,33.729
428,The Mysteries of the Himalayas,23,May,2019,Shorts,1507,199.063,54.807,1.738,901.775,86.659
429,Traditional Indian Weddings,8,September,2019,Long,326,645.006,41.783,2.76,2085.554,77.185
430,Exploring the Rann of Kutch,1,May,2019,Long,1260,298.402,27.941,2.36,553.721,112.828
431,The Festivals of India,28,January,2021,Shorts,1310,100.522,20.213,6.53,2226.381,42.583
432,Life in a Small Indian Village,17,February,2021,Shorts,787,205.642,23.678,8.324,2553.843,99.476
433,A Culinary Tour of Delhi,1,March,2020,Shorts,1542,658.22,50.999,2.253,2861.732,75.73
434,Bollywood: Behind the Scenes,24,September,2019,Long,819,659.929,18.296,1.071,1127.727,88.981
435,Wildlife of the Sundarbans,7,March,2021,Shorts,1299,747.702,15.543,9.75,1011.401,43.977
436,Discovering the Backwaters of Kerala,26,July,2019,Shorts,775,805.778,62.427,0.51,1319.849,104.042
437,The Markets of Kolkata,11,January,2021,Shorts,1387,438.026,48.11,4.34,1454.275,173.994
438,A Tour of Mumbai,24,January,2021,Long,818,205.472,11.192,9.457,2406.226,128.707
439,Discovering the Backwaters of Kerala,13,February,2020,Shorts,602,949.372,14.844,7.219,1860.499,132.71
440,A Journey through Rajasthan,6,October,2020,Long,1134,810.327,48.395,4.828,2243.364,188.038
441,The History of the Mughal Empire,19,March,2020,Shorts,1496,405.722,51.981,5.844,3864.602,94.636
442,The Art of Indian Dance,15,September,2020,Shorts,1275,636.749,10.784,6.803,1606.849,101.491
443,The Indian Independence Movement,9,May,2020,Shorts,262,749.75,67.903,9.279,1242.186,67.192
444,The Art of Indian Dance,26,November,2021,Long,1009,465.185,61.843,6.102,1547.701,90.529
445,Traditional Indian Weddings,1,September,2019,Shorts,1109,926.078,30.08,2.675,1362.772,62.641
446,Exploring the Taj Mahal,21,December,2019,Long,1506,527.008,36.66,8.73,2756.447,153.951
447,Exploring the Rann of Kutch,4,April,2019,Shorts,1260,875.998,35.534,4.395,1768.518,130.923
448,Wildlife of the Sundarbans,2,June,2019,Shorts,1376,147.135,51.385,6.404,2205.085,191.526
449,Exploring the Ganges River,18,November,2019,Long,568,764.886,27.893,9.828,1928.831,147.91
450,The Mysteries of the Himalayas,3,November,2019,Long,1076,545.997,53.378,3.299,584.452,93.133
